Tahun,Provinsi,Luas_Area_Negara,Produksi_Negara,Luas_Area_Swasta,Produksi_Swasta,Luas_Area_Rakyat,Produksi_Rakyat,Total_Area,Total_Produksi
2010,Aceh,38775,49870,135664,344168,150053,222472,324492,616510
2010,Sumatera Utara,295068,1013619,447393,1735605,397136,1150399,1139597,3899623
2010,Sumatera Barat,9084,23085,194306,541215,173767,421640,377157,985940
2010,Riau,75841,215056,648670,2386453,1055543,2894459,1780054,5495968
2010,Kepulauan Riau,0,0,5844,11818,2644,2233,8488,14051
2010,Jambi,23609,80459,214028,654135,306049,909492,543686,1644086
2010,Sumatera Selatan,45574,80804,495096,1465357,321606,996661,862276,2542822
2010,Kepulauan Bangka Belitung,0,0,133147,440517,42656,49663,175803,490180
2010,Bengkulu,4386,13624,88061,320651,205324,461718,297771,795993
2010,Lampung,11902,36322,49281,194410,80217,174991,141400,405723
2010,DKI Jakarta,0,0,0,0,0,0,0,0
2010,Jawa Barat,4445,12022,4605,4352,5,0,9055,16374
2010,Banten,9312,16614,47,68,6867,9287,16226,25969
2010,Jawa Tengah,0,0,0,0,0,0,0,0
2010,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2010,Jawa Timur,0,0,0,0,0,0,0,0
2010,Bali,0,0,0,0,0,0,0,0
2010,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2010,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2010,Kalimantan Barat,60206,189494,378164,817176,228440,420206,666810,1426876
2010,Kalimantan Tengah,0,0,814780,1506411,134511,218257,949291,1724668
2010,Kalimantan Selatan,10613,18574,361046,930395,56060,100250,427719,1049219
2010,Kalimantan Timur,41869,131389,384740,397157,115785,171415,542394,699961
2010,Sulawesi Utara,0,0,0,0,0,0,0,0
2010,Gorontalo,0,0,0,0,0,0,0,0
2010,Sulawesi Tengah,3669,1990,43478,100187,17446,43662,64593,145839
2010,Sulawesi Selatan,5484,4616,2475,4844,10794,25458,18753,34918
2010,Sulawesi Barat,0,0,41430,161579,53420,102772,94850,264351
2010,Sulawesi Tenggara,3769,2656,31563,12531,2499,0,37831,15187
2010,Maluku,0,0,0,0,0,0,0,0
2010,Maluku Utara,0,0,0,0,0,0,0,0
2010,Papua,12079,24175,17595,61910,15521,50286,45195,136371
2010,Papua Barat,2807,7291,11665,25549,10915,33388,25387,66228
2011,Aceh,42352,79794,134520,341983,183371,196570,360243,618347
2011,Sumatera Utara,300576,1030666,457605,1689229,405801,1194279,1163982,3914174
2011,Sumatera Barat,9367,34156,184792,509965,176495,383280,370654,927401
2011,Riau,78979,244393,634551,2330298,1205498,3174176,1919028,5748867
2011,Kepulauan Riau,0,0,5846,13975,2868,2919,8714,16894
2011,Jambi,24273,85201,262920,805916,359791,882031,646984,1773148
2011,Sumatera Selatan,48915,146442,458692,1296388,366197,1007385,873804,2450215
2011,Kepulauan Bangka Belitung,0,0,136763,432023,49352,72532,186115,504555
2011,Bengkulu,4386,15118,111301,329768,192450,464626,308137,809512
2011,Lampung,17877,56446,47825,190253,57652,167820,123354,414519
2011,DKI Jakarta,0,0,0,0,0,0,0,0
2011,Jawa Barat,6811,15375,7135,8317,179,29,14125,23721
2011,Banten,7913,13103,53117,14844,6878,8611,21831,0
2011,Jawa Tengah,0,0,0,0,0,0,0,0
2011,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2011,Jawa Timur,0,0,0,0,0,0,0,0
2011,Bali,0,0,0,0,0,0,0,0
2011,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2011,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2011,Kalimantan Barat,60206,200562,385081,871552,255235,436210,700522,1508324
2011,Kalimantan Tengah,0,0,879804,2255236,128548,244018,1008352,2499254
2011,Kalimantan Selatan,13768,27065,351224,906211,59818,113325,424810,1046601
2011,Kalimantan Timur,43190,146972,455836,748066,158235,168793,657261,1063831
2011,Sulawesi Utara,0,0,0,0,0,0,0,0
2011,Gorontalo,0,0,0,0,0,0,0,0
2011,Sulawesi Tengah,3755,3950,40102,85422,49977,96798,93834,186170
2011,Sulawesi Selatan,10009,19403,2475,5881,15391,23909,27875,49193
2011,Sulawesi Barat,0,0,41371,135052,53854,111013,95225,246065
2011,Sulawesi Tenggara,4802,3799,35852,12323,4157,69,44811,16191
2011,Maluku,0,0,0,0,0,0,0,0
2011,Maluku Utara,0,0,0,0,0,0,0,0
2011,Papua,12079,24410,17595,62508,9818,16135,39492,103053
2011,Papua Barat,2807,7363,6408,13347,10915,33397,20130,54107
2012,Aceh,39249,63726,146600,354548,195639,236525,381488,654799
2012,Sumatera Utara,321538,1031241,484829,1759045,416542,1185139,1222909,3975425
2012,Sumatera Barat,9357,35498,169154,510329,177389,384288,355900,930115
2012,Riau,77740,225124,764154,2674241,1297294,3485172,2139824,6384537
2012,Kepulauan Riau,0,0,17719,36281,1265923,0,18984,37204
2012,Jambi,26179,78297,242681,744595,427950,895399,696810,1718291
2012,Sumatera Selatan,49171,135262,476552,1343578,372439,1014059,898162,2492899
2012,Kepulauan Bangka Belitung,0,0,129820,423790,60567,80811,190387,504601
2012,Bengkulu,4386,15591,91981,322510,193839,463921,290206,802022
2012,Lampung,18003,60610,56440,201248,86119,171964,160562,433822
2012,DKI Jakarta,0,0,0,0,0,0,0,0
2012,Jawa Barat,17672,3189,4943,10883,179105,7515,220720,22720
2012,Banten,11396,16168,848,1022,7629,10483,19873,27673
2012,Jawa Tengah,0,0,0,0,0,0,0,0
2012,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2012,Jawa Timur,0,0,0,0,0,0,0,0
2012,Bali,0,0,0,0,0,0,0,0
2012,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2012,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2012,Kalimantan Barat,66295,193446,538329,1197562,293306,439851,897930,1830859
2012,Kalimantan Tengah,700382,967110,2707721,1126506,158696,250178,2958281,0
2012,Kalimantan Selatan,13896,43069,416134,1065687,67564,124328,497694,1233084
2012,Kalimantan Timur,57439,158929,515227,955469,216720,183744,789386,1298142
2012,Sulawesi Utara,0,0,0,0,0,0,0,0
2012,Gorontalo,0,0,0,0,0,0,0,0
2012,Sulawesi Tengah,6189,6163,74026,123132,62377,104784,142592,234079
2012,Sulawesi Selatan,6321,13853,2530,5929,23413,27400,32264,47182
2012,Sulawesi Barat,0,0,47085,157669,47997,96059,95082,253728
2012,Sulawesi Tenggara,3817,5614,51215,23168,5538,82,60570,28864
2012,Maluku,0,0,0,0,0,0,15614,0
2012,Maluku Utara,0,0,0,0,0,0,0,0
2012,Papua,12079,24999,24397,60357,14244,8120,50720,93476
2012,Papua Barat,2807,7363,35385,11959,10915,34394,38976,53716
2013,Aceh,39194,67304,159204,404328,198246,345893,396644,817525
2013,Sumatera Utara,315229,1058264,631466,2305629,393653,1185309,1340348,4549202
2013,Sumatera Barat,8179,27998,168579,567857,187450,426477,364208,1022332
2013,Riau,83670,249321,761975,2705481,1348076,3692195,2193721,6646997
2013,Jambi,26181,84290,224487,702036,407261,963291,657929,1749617
2013,Sumatera Selatan,53708,135563,476035,1417993,530830,1137064,1060573,2690620
2013,Bengkulu,4386,16620,91930,304214,194317,466216,290633,787050
2013,Lampung,18512,64059,52963,187878,86570,172118,158045,424055
2013,Kepulauan Bangka Belitung,0,0,141976,413329,59115,94796,201091,508125
2013,Kepulauan Riau,0,0,17761,35640,1275,1134,19036,36774
2013,DKI Jakarta,0,0,0,0,0,0,0,0
2013,Jawa Barat,10226,27644,3139,4846,246,153,13611,32643
2013,Jawa Tengah,0,0,0,0,0,0,0,0
2013,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2013,Jawa Timur,0,0,0,0,0,0,0,0
2013,Banten,9843,15920,2513,1023,7745,10133,20101,27076
2013,Bali,0,0,0,0,0,0,0,0
2013,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2013,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2013,Kalimantan Barat,57134,129706,542763,1187230,314938,477530,914835,1794466
2013,Kalimantan Tengah,700,382,967935,2896793,131057,229963,1099692,3127138
2013,Kalimantan Selatan,16886,51255,389404,1054397,69449,138388,475739,1244040
2013,Kalimantan Timur,50529,147762,462204,906223,201478,295790,714211,1349775
2013,Kalimantan Utara,7220,18033,66038,110597,28788,36099,102046,164729
2013,Sulawesi Utara,0,0,0,0,0,0,0,0
2013,Sulawesi Tengah,1133,1521,72064,121478,67685,121075,140882,244074
2013,Sulawesi Selatan,6334,10999,2518,5918,27410,32901,36262,49818
2013,Sulawesi Tenggara,3817,5648,35476,65211,6125,419,45418,71278
2013,Gorontalo,0,0,0,0,0,0,0,0
2013,Sulawesi Barat,0,0,45471,156208,50847,126530,96318,282738
2013,Maluku,0,0,15614,0,18367,14740,33981,14740
2013,Maluku Utara,0,0,0,0,0,0,0,0
2013,Papua Barat,2807,7363,25254,11959,10915,34394,38976,53716
2013,Papua,12079,24999,24397,60357,14244,8120,50720,93476
2014,Aceh,36547,65463,168776,504326,214850,375828,420173,945617
2014,Sumatera Utara,315009,1076759,664696,2606577,416568,1186866,1396273,4870202
2014,Sumatera Barat,9614,38080,174707,435792,192153,450941,376474,924813
2014,Riau,85586,264791,847331,3021559,1357819,3706891,2290736,6993241
2014,Jambi,23622,84011,233310,711919,436035,977805,692967,1773735
2014,Sumatera Selatan,47673,134694,466424,1518981,408905,1138141,923002,2791816
2014,Bengkulu,4386,13540,99051,319222,190363,466056,293800,798818
2014,Lampung,17119,63960,53331,208068,114464,183876,184914,455904
2014,Kepulauan Bangka Belitung,0,0,144702,416005,61505,100592,206207,516597
2014,Kepulauan Riau,0,0,17753,43892,1248,1109,19001,45001
2014,DKI Jakarta,0,0,0,0,0,0,0,0
2014,Jawa Barat,27909,3139,4944,13624,259168,10226,292021,33021
2014,Jawa Tengah,0,0,0,0,0,0,0,0
2014,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2014,Jawa Timur,0,0,0,0,0,0,0,0
2014,Banten,9275,12869,2513,1030,7936,10401,19724,24300
2014,Bali,0,0,0,0,0,0,0,0
2014,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2014,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2014,Kalimantan Barat,56205,125090,540336,1347432,339866,492993,936407,1965515
2014,Kalimantan Tengah,700382,974324,2929175,115933,140909,228682,3770466,1318939
2014,Kalimantan Selatan,16886,54345,416318,1249471,79693,156750,512897,1460566
2014,Kalimantan Timur,57749,189813,438696,901791,236952,315733,733397,1407337
2014,Kalimantan Utara,0,0,128470,210324,24845,45379,153315,255703
2014,Sulawesi Utara,0,0,0,0,0,0,0,0
2014,Sulawesi Tengah,1133,1505,77093,125667,69686,127191,147912,254363
2014,Sulawesi Selatan,18589,38149,2518,5825,29807,34919,50914,78893
2014,Sulawesi Tenggara,3817,5614,35476,65231,5913,128,45206,70973
2014,Gorontalo,0,0,0,0,4306,0,4306,0
2014,Sulawesi Barat,0,0,45471,125947,60894,159575,106365,285522
2014,Maluku,0,0,9197,0,1100,0,10297,0
2014,Maluku Utara,0,0,0,0,0,0,0,0
2014,Papua Barat,2807,7363,35385,29923,11405,36705,49597,73991
2014,Papua,12079,24999,24397,60357,14884,8666,51360,94022
2015,Aceh,41770,65041,166354,446097,220092,385175,428216,896313
2015,Sumatera Utara,324043,1222054,684977,2773793,418002,1197288,1427022,5193135
2015,Sumatera Barat,9261,26424,180036,440401,194089,459793,383386,926618
2015,Riau,91854,312012,954519,4135981,1354503,3611853,2400876,8059846
2015,Jambi,23758,84713,240566,711919,450075,998243,714399,1794875
2015,Sumatera Selatan,49051,132370,471928,1520758,431104,1168810,952083,2821938
2015,Bengkulu,4677,16684,93090,263883,191147,466954,288914,747521
2015,Lampung,15347,42222,81107,217028,111414,175064,207868,434314
2015,Kepulauan Bangka Belitung,0,0,147871,416005,63212,107084,211083,523089
2015,Kepulauan Riau,0,0,17753,43892,1260,1170,19013,45062
2015,DKI Jakarta,0,0,0,0,0,0,0,0
2015,Jawa Barat,9636,25196,4186,9602,261224,0,275046,34798
2015,Jawa Tengah,0,0,0,0,0,0,0,0
2015,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2015,Jawa Timur,0,0,0,0,0,0,0,0
2015,Banten,9604,17274,2149,1612,7531,6629,19284,25515
2015,Bali,0,0,0,0,0,0,0,0
2015,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2015,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2015,Kalimantan Barat,51428,116106,710472,1348260,382285,703770,1144185,2168136
2015,Kalimantan Tengah,0,0,995728,3341513,146277,231470,1142005,3572983
2015,Kalimantan Selatan,16969,51925,323367,809261,80732,188277,421068,1049463
2015,Kalimantan Timur,57373,156239,536260,1065939,255976,364446,849609,1586624
2015,Kalimantan Utara,0,0,132137,223211,25289,44876,157426,268087
2015,Sulawesi Utara,0,0,0,0,0,0,0,0
2015,Sulawesi Tengah,1133,1783,76343,133182,73646,140385,151122,275350
2015,Sulawesi Selatan,19098,38803,2533,5850,30073,66895,51704,111548
2015,Sulawesi Tenggara,3817,5614,35476,66589,6466,211,45759,72414
2015,Gorontalo,0,0,6832,70,4306,10,11138,80
2015,Sulawesi Barat,0,0,46994,130266,61160,164351,108154,294617
2015,Maluku,0,0,9197,0,853,25,10050,25
2015,Maluku Utara,0,0,0,0,0,0,0,0
2015,Papua Barat,2882,7363,36712,29923,11404,36705,51000,73991
2015,Papua,12193,24999,24397,60357,14243,8120,50833,93476
2016,Aceh,28419,53264,113430,270706,228230,408744,370079,732714
2016,Sumatera Utara,363878,1118555,560836,1633530,417809,1231646,1342523,3983731
2016,Sumatera Barat,15079,91234,154461,592152,208900,499672,378440,1183058
2016,Riau,59792,197786,569818,3342790,1383341,3884532,2012951,7425108
2016,Jambi,24062,64765,171865,359983,467573,1010393,663500,1435141
2016,Sumatera Selatan,32893,73086,401129,1368057,467660,1488309,901682,2929452
2016,Bengkulu,1212,4841,91588,272571,192296,472770,285096,750182
2016,Lampung,13667,45759,73250,203877,112553,176231,199470,425867
2016,Kepulauan Bangka Belitung,0,0,168066,607038,64148,119585,232214,726623
2016,Kepulauan Riau,0,0,6094,20188,1315,1246,7409,21434
2016,DKI Jakarta,0,0,0,0,0,0,0,0
2016,Jawa Barat,13436,24865,3614,7712,244,248,17294,32825
2016,Jawa Tengah,0,0,0,0,0,0,0,0
2016,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2016,Jawa Timur,0,0,0,0,0,0,0,0
2016,Banten,9605,21792,2411,2304,7432,3373,19448,27469
2016,Bali,0,0,0,0,0,0,0,0
2016,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2016,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2016,Kalimantan Barat,25733,40153,831292,1403588,407410,748850,1264435,2192591
2016,Kalimantan Tengah,0,0,1138198,4020026,149930,240067,1288128,4260093
2016,Kalimantan Selatan,11449,47187,454873,1500628,86822,202574,553144,1750389
2016,Kalimantan Timur,54157,47224,690123,1839863,277034,471305,1021314,2358392
2016,Kalimantan Utara,0,0,22767,90140,27580,77528,50347,167668
2016,Sulawesi Utara,0,0,0,0,0,0,0,0
2016,Sulawesi Tengah,0,0,83381,152640,74806,164141,158187,316781
2016,Sulawesi Selatan,24378,16454,591,728,30738,87875,55707,105057
2016,Sulawesi Tenggara,1313,1152,60766,62906,6950,1347,69029,65405
2016,Gorontalo,0,0,1035,0,4957,10,5992,10
2016,Sulawesi Barat,0,0,55221,194167,95088,239939,150309,434106
2016,Maluku,0,0,9201,7271,853,44,10054,7315
2016,Maluku Utara,0,0,0,0,0,0,0,0
2016,Papua Barat,14747,38291,33528,60688,11405,36951,59680,135930
2016,Papua,13608,1591,57181,10892,14244,8162,85033,20645
2017,Aceh,29343,68273,128716,292150,282234,506838,440293,867261
